"Date","TrackID","RaceNumber","surfaceDescription","HorseName","ProgramNumber","PostPos","MLodds","JockeyFullName","trainerFullName"
"2020-11-12","AQU","1","Dirt","Forty Two Ace"," 1 ","1","4-1","Joel Rosario","Gary Sciacca"
"2020-11-12","AQU","1","Dirt","Big Brown Shoes"," 2 ","2","12-1","Kendrick Carmouche","Charlton Baker"
"2020-11-12","AQU","1","Dirt","Hangout"," 3 ","3","8-1","Manuel Franco","David Donk"
"2020-11-12","AQU","1","Dirt","Masked Marauder"," 4 ","4","7-5","Irad Ortiz, Jr.","Rob Atras"
"2020-11-12","AQU","1","Dirt","High Limit Room"," 5 ","5","10-1","Jorge Vargas, Jr.","Jose Camejo"
"2020-11-12","AQU","1","Dirt","Uno"," 6 ","6","8-5","Jose Ortiz","Todd Pletcher"
"2020-11-12","AQU","2","Outer turf","Shinjuku"," 1 ","1","8-1","Jose Ortiz","Horacio DePaz"
"2020-11-12","AQU","2","Outer turf","Wudda U Think Now"," 2 ","2","5-2","Joel Rosario","Rudy Rodriguez"
"2020-11-12","AQU","2","Outer turf","Ernie Banker"," 3 ","3","5-1"," Rider TBA","John Kimmel"
"2020-11-12","AQU","2","Outer turf","Black Irish"," 4 ","4","8-1","Jose Ortiz","David Donk"
"2020-11-12","AQU","2","Outer turf","Not Phar Now"," 5 ","5","7-2","Eric Cancel","Linda Rice"
"2020-11-12","AQU","2","Outer turf","Freudian Analyst"," 6 ","6","20-1","Luis Cardenas","Keith O'Brien"
"2020-11-12","AQU","2","Outer turf","Freudian Fate"," 7 ","7","8-1","Dylan Davis","Henry Burnett Armstrong"
"2020-11-12","AQU","2","Outer turf","King Angelo"," 8 ","8","15-1","Jose Lezcano","Philip Serpe"
"2020-11-12","AQU","2","Outer turf","Rift Valley"," 9 ","9","6-1","Javier Castellano","James Jerkens"
"2020-11-12","AQU","2","Outer turf","Scuttlebuzz","10 ","10","3-1","Manuel Franco","Jonathan Thomas"
"2020-11-12","AQU","2","Outer turf","Striking Causeway","11 ","11","2-1","Kendrick Carmouche","Robert Falcone, Jr."
"2020-11-12","AQU","3","Dirt","Rude Awaking"," 1 ","1","3-1","Jose Lezcano","Linda Rice"
"2020-11-12","AQU","3","Dirt","Lookbothways"," 2 ","2","8-1","Nik Juarez","Bruce Levine"
"2020-11-12","AQU","3","Dirt","Happy Sophia"," 3 ","3","3-2","Dylan Davis","Raymond Handal"
"2020-11-12","AQU","3","Dirt","Evan's Nice Now"," 4 ","4","30-1","Cristina Bonilla","Marvin Richards"
"2020-11-12","AQU","3","Dirt","Appletini"," 5 ","5","10-1","Jorge Vargas, Jr.","Leah Gyarmati"
"2020-11-12","AQU","3","Dirt","Wicked Title"," 6 ","6","5-2","Irad Ortiz, Jr.","Rudy Rodriguez"
"2020-11-12","AQU","3","Dirt","Sky Kitten"," 7 ","7","8-1","Luis Cardenas","David Donk"
"2020-11-12","AQU","4","Dirt","Onward"," 1 ","1","5-2","Manuel Franco","Christophe Clement"
"2020-11-12","AQU","4","Dirt","Victory Built"," 2 ","2","12-1","Jose Lezcano","James Ryerson"
"2020-11-12","AQU","4","Dirt","Money in the Bank"," 3 ","3","6-1","Dylan Davis","Edmund Davis"
"2020-11-12","AQU","4","Dirt","I Saw It All"," 4 ","4","20-1","Benjamin Hernandez","James Ferraro"
"2020-11-12","AQU","4","Dirt","Starship Bubba"," 5 ","5","2-1","Irad Ortiz, Jr.","Orlando Noda"
"2020-11-12","AQU","4","Dirt","Beta"," 6 ","6","15-1","Ferrin Peterson","James Ferraro"
"2020-11-12","AQU","4","Dirt","Spitball"," 7 ","7","7-2","Joel Rosario","Kelly Breen"
"2020-11-12","AQU","4","Dirt","Double Shot"," 8 ","8","8-1","Luis Cardenas","David Donk"
"2020-11-12","AQU","5","Outer turf","Bad Beat Brian","1  ","5","2-1","Javier Castellano","Michael Maker"
"2020-11-12","AQU","5","Outer turf","Smile Bryan","1A ","11","2-1","Jose Ortiz","Michael Maker"
"2020-11-12","AQU","5","Outer turf","Our Troubadour","2  ","1","20-1","Eric Cancel","Edward Barker"
"2020-11-12","AQU","5","Outer turf","Standup","3  ","2","4-1","Irad Ortiz, Jr.","Robert Falcone, Jr."
"2020-11-12","AQU","5","Outer turf","Fair Catch","4  ","3","15-1","Ferrin Peterson","Bruno Tessore"
"2020-11-12","AQU","5","Outer turf","Qian B C","5  ","4","8-1","Junior Alvarado","Charlton Baker"
"2020-11-12","AQU","5","Outer turf","Souper Highvoltage"," 6 ","6","12-1","Jorge Vargas, Jr.","Michael Trombetta"
"2020-11-12","AQU","5","Outer turf","Alongcametheprince"," 7 ","7","50-1","Luis Reyes","Dylan Clarke"
"2020-11-12","AQU","5","Outer turf","Tenure"," 8 ","8","7-2","Joel Rosario","Robert Falcone, Jr."
"2020-11-12","AQU","5","Outer turf","Light the Posse"," 9 ","9","20-1","Romero Maragh","Charlton Baker"
"2020-11-12","AQU","5","Outer turf","Captain Thunder","10 ","10","12-1","Kendrick Carmouche","Francis Abbott, III"
"2020-11-12","AQU","5","Outer turf","Il Primo Sole (GB)","11 ","12","10-1","Dylan Davis","David Duggan"
"2020-11-12","AQU","5","Outer turf","Road to Meath","12 ","13","5-2","Joel Rosario","Raymond Handal"
"2020-11-12","AQU","5","Outer turf","Mission Wrapitup","13 ","14","8-1","Luis Cardenas","Mertkan Kantarmaci"
"2020-11-12","AQU","5","Outer turf","Twelfth Labour","14 ","15","3-1","Dylan Davis","A. Avila"
"2020-11-12","AQU","5","Outer turf","Fed Funds","15 ","16","7-2","Luis Cardenas","Horacio DePaz"
"2020-11-12","AQU","6","Dirt","Khali Magic"," 1 ","1","8-1","Kendrick Carmouche","Chris Englehart"
"2020-11-12","AQU","6","Dirt","Ten Plagues"," 2 ","2","12-1","Manuel Franco","Richard Schosberg"
"2020-11-12","AQU","6","Dirt","Vive La Liberty"," 3 ","3","15-1","Luis Cardenas","Patrick Quick"
"2020-11-12","AQU","6","Dirt","Madame Rose"," 4 ","4","30-1","Joey Martinez","Eduardo Jones"
"2020-11-12","AQU","6","Dirt","The Great Poohdini"," 5 ","5","15-1","Dylan Davis","Mitchell Friedman"
"2020-11-12","AQU","6","Dirt","Wish for Magic"," 6 ","6","20-1","Luis Reyes","Bruce Brown"
"2020-11-12","AQU","6","Dirt","Full of Fire"," 7 ","7","3-1","Jose Lezcano","Horacio DePaz"
"2020-11-12","AQU","6","Dirt","Gabby'sgoldenvoice"," 8 ","8","20-1","Andre Worrie","Jeffrey Englehart"
"2020-11-12","AQU","6","Dirt","Rosey's Peach"," 9 ","9","7-2","Junior Alvarado","Domenick Schettino"
"2020-11-12","AQU","6","Dirt","Miss Comedian","10 ","10","9-2","Irad Ortiz, Jr.","Jeremiah Englehart"
"2020-11-12","AQU","6","Dirt","Big Tony's Girl","11 ","11","6-1","Jose Ortiz","James Ryerson"
"2020-11-12","AQU","6","Dirt","Adirondack Queen","12 ","12","20-1","Eric Cancel","Bob Dunham"
"2020-11-12","AQU","7","Dirt","Tale of Mist"," 1 ","1","30-1","Luis Rodriguez Castro","Randi Persaud"
"2020-11-12","AQU","7","Dirt","Professor Snape"," 2 ","2","50-1","Heman Harkie","Peter Tournas"
"2020-11-12","AQU","7","Dirt","Fox Red"," 3 ","3","6-5","Hector Diaz, Jr.","Wayne Potts"
"2020-11-12","AQU","7","Dirt","Wushu Warrior"," 4 ","4","4-1","Luis Cardenas","Mertkan Kantarmaci"
"2020-11-12","AQU","7","Dirt","Our Honor"," 5 ","5","20-1","Ferrin Peterson","Daniel Laxmeter"
"2020-11-12","AQU","7","Dirt","Wegotoldyougotsold"," 6 ","6","2-1","Andre Worrie","John Toscano, Jr."
"2020-11-12","AQU","7","Dirt","Currency Chrome"," 7 ","7","12-1","Romero Maragh","Michael Simmonds"
"2020-11-12","AQU","7","Dirt","El Potro"," 8 ","8","8-1","Angel Rodriguez","Clarence King"
"2020-11-12","AQU","8","Dirt","V. I. P. Ticket"," 1 ","1","6-1","Jose Lezcano","Jeremiah O'Dwyer"
"2020-11-12","AQU","8","Dirt","Dudley Square"," 2 ","2","9-2","John Velazquez","Todd Pletcher"
"2020-11-12","AQU","8","Dirt","Fried Rice King"," 3 ","3","15-1","Dylan Davis","Edmund Davis"
"2020-11-12","AQU","8","Dirt","Mischief Afoot"," 4 ","4","7-2","Jose Ortiz","James Toner"
"2020-11-12","AQU","8","Dirt","First Line"," 5 ","5","5-1","Luis Rodriguez Castro","Orlando Noda"
"2020-11-12","AQU","8","Dirt","Our Last Buck"," 6 ","6","1-1","Manuel Franco","Michelle Nevin"
"2020-11-12","AQU","9","Dirt","Uncle Ned"," 1 ","1","10-1","Nik Juarez","Luis Miranda"
"2020-11-12","AQU","9","Dirt","Unbridled John"," 2 ","2","3-1","Benjamin Hernandez","Bruce Brown"
"2020-11-12","AQU","9","Dirt","Confectioner"," 3 ","3","15-1","Luis Rodriguez Castro","Wayne Potts"
"2020-11-12","AQU","9","Dirt","Seediskid"," 4 ","4","30-1","Romero Maragh","Darmindra Dharamjit"
"2020-11-12","AQU","9","Dirt","Tizme Bobby McGee"," 5 ","5","12-1","Eric Cancel","Jeremiah Englehart"
"2020-11-12","AQU","9","Dirt","Tiz Envy"," 6 ","6","6-1","Michael Luzzi","Amira Chichakly"
"2020-11-12","AQU","9","Dirt","Lorenzen"," 7 ","7","20-1","Andre Worrie","Amira Chichakly"
"2020-11-12","AQU","9","Dirt","Height"," 8 ","8","15-1","Ferrin Peterson","Karl Grusmark"
"2020-11-12","AQU","9","Dirt","Tri Saint Lorenzo"," 9 ","9","5-2","Luis Cardenas","Carlos Martin"
"2020-11-12","AQU","9","Dirt","Wild Cat West","10 ","10","7-2","Manuel Franco","Rudy Rodriguez"
"2020-11-12","AQU","9","Dirt","Across the Channel","11 ","11","50-1","Angel Rodriguez","Dylan Clarke"
"2020-11-12","CD","1","Dirt","Playfulmisssamurai"," 1 ","1","","Edgar Morales","Chelsey Coady"
"2020-11-12","CD","1","Dirt","Queens Gift"," 2 ","2","","Ricardo Santana, Jr.","Ron Moquett"
"2020-11-12","CD","1","Dirt","Twirling Patti"," 3 ","3","","Colby Hernandez","Thomas Drury, Jr."
"2020-11-12","CD","1","Dirt","War Ensign"," 4 ","4","","Mitchell Murrill","William Bradley"
"2020-11-12","CD","1","Dirt","Velsheda"," 5 ","5","","Miguel Mena","Jordan Blair"
"2020-11-12","CD","1","Dirt","She's Forever"," 6 ","6","","Rafael Bejarano","James Kelley"
"2020-11-12","CD","2","Dirt","Telluride Queen"," 1 ","1","","Joseph Talamo","Philip Sims"
"2020-11-12","CD","2","Dirt","America's Girl"," 2 ","2","","Gerardo Corrales","Ben Colebrook"
"2020-11-12","CD","2","Dirt","Shop American"," 3 ","3","","Gabriel Saez","Brian Lynch"
"2020-11-12","CD","2","Dirt","Itsallinthenotes"," 4 ","4","","Julien Leparoux","Michael Puhich"
"2020-11-12","CD","2","Dirt","Ship's Creek"," 5 ","5","","Corey Lanerie","Ben Colebrook"
"2020-11-12","CD","2","Dirt","Premier Wish"," 6 ","6","","Adam Beschizza","Joe Sharp"
"2020-11-12","CD","3","Dirt","Passageway"," 1 ","1","","Mitchell Murrill","Chris Hartman"
"2020-11-12","CD","3","Dirt","Highest Mandate"," 2A","2","","Corey Lanerie","Dane Kobiskie"
"2020-11-12","CD","3","Dirt","Bourbon Frontier"," 3 ","3","","Jon Court","Dallas Stewart"
"2020-11-12","CD","3","Dirt","The Beat"," 4A","4","","Corey Lanerie","Dane Kobiskie"
"2020-11-12","CD","3","Dirt","Barrel Proof"," 5 ","5","","Joseph Rocco, Jr.","Michael Tomlinson"
"2020-11-12","CD","3","Dirt","Windy Nations"," 6 ","6","","Tyler Gaffalione","Michael Maker"
"2020-11-12","CD","3","Dirt","Let It B"," 7 ","7","","James Graham","Thomas Amoss"
"2020-11-12","CD","4","Dirt","Honey Parade"," 1 ","1","","James Graham","Brian Lynch"
"2020-11-12","CD","4","Dirt","Keep Your Distance"," 2 ","2","","David Cohen","Robertino Diodoro"
"2020-11-12","CD","4","Dirt","On Deck"," 3 ","3","","Brian Hernandez, Jr.","Jordan Blair"
"2020-11-12","CD","4","Dirt","Shasta Star"," 4 ","4","","Edgar Morales","William Bradley"
"2020-11-12","CD","4","Dirt","Jungle Juice (IRE)"," 5 ","5","","Adam Beschizza","Anna Meah"
"2020-11-12","CD","4","Dirt","Alittlelesstalk"," 6 ","6","","Joseph Rocco, Jr.","Roddina Barrett"
"2020-11-12","CD","4","Dirt","Cedar Hall"," 7 ","7","","Joseph Talamo","Norm Casse"
"2020-11-12","CD","5","Dirt","Lend It Tewmey"," 1 ","1","","Adam Beschizza","Darrin Miller"
"2020-11-12","CD","5","Dirt","O Dogg"," 2 ","2","","Corey Lanerie","Steve Margolis"
"2020-11-12","CD","5","Dirt","Unspoken Memories"," 3 ","3","","Gabriel Saez","J. Desormeaux"
"2020-11-12","CD","5","Dirt","Bronze Beast"," 4 ","4","","Gerardo Corrales","William Morey"
"2020-11-12","CD","5","Dirt","Charity for All"," 5 ","5","","Colby Hernandez","Dallas Stewart"
"2020-11-12","CD","5","Dirt","Jedrek"," 6 ","6","","Joseph Talamo","Nicholas Zito"
"2020-11-12","CD","5","Dirt","Sidetown"," 7 ","7","","Rafael Bejarano","Randy Morse"
"2020-11-12","CD","5","Dirt","El Segundo"," 8 ","8","","Joseph Rocco, Jr.","Dane Kobiskie"
"2020-11-12","CD","6","Turf","Temper Swings"," 1 ","1","","Brian Hernandez, Jr.","Brendan Walsh"
"2020-11-12","CD","6","Turf","Family Time"," 2 ","2","","Joseph Talamo","Dale Romans"
"2020-11-12","CD","6","Turf","Talk Radio"," 3 ","3","","Florent Geroux","William Mott"
"2020-11-12","CD","6","Turf","Sovereign Power"," 4 ","4","","Ricardo Santana, Jr.","Michael Maker"
"2020-11-12","CD","6","Turf","Wild Story"," 5 ","5","","Robby Albarado","Kenneth McPeek"
"2020-11-12","CD","6","Turf","Illiogami"," 6 ","6","","Julien Leparoux","George Arnold, II"
"2020-11-12","CD","6","Turf","Barista"," 7 ","7","","James Graham","James Baker"
"2020-11-12","CD","6","Turf","Fasted"," 8 ","8","","Declan Cannon","Ron Moquett"
"2020-11-12","CD","6","Turf","Targeted Return"," 9 ","9","","Tyler Gaffalione","Chad Brown"
"2020-11-12","CD","6","Turf","Lady Clementine","10 ","10","","Adam Beschizza","Saffie Joseph, Jr."
"2020-11-12","CD","6","Turf","Stunning Princess","11 ","11","","Gabriel Saez","Danny Gargan"
"2020-11-12","CD","6","Turf","Catalan","12 ","12","","Corey Lanerie","William VanMeter"
"2020-11-12","CD","6","Turf","Picasso Collection","13 ","13","","Joseph Talamo","Paulo Lobo"
"2020-11-12","CD","6","Turf","Semble Juste (IRE)","14 ","14","","Robby Albarado","Kenneth McPeek"
"2020-11-12","CD","7","Dirt","Beautiful Trauma"," 1 ","1","","Florent Geroux","Thomas Amoss"
"2020-11-12","CD","7","Dirt","Chance to Shine"," 2 ","2","","Joseph Rocco, Jr.","Dan McFarlane"
"2020-11-12","CD","7","Dirt","French Empire"," 3 ","3","","Rafael Bejarano","Cipriano Contreras"
"2020-11-12","CD","7","Dirt","Second Coming"," 4 ","4","","Edgar Morales","George Arnold, II"
"2020-11-12","CD","7","Dirt","Sara Sea"," 5 ","5","","Joseph Talamo","D. Lukas"
"2020-11-12","CD","7","Dirt","Resurrection Road"," 6 ","6","","Gerardo Corrales","Eric Reed"
"2020-11-12","CD","8","Dirt","Mi Sandia"," 1 ","1","","Joseph Ramos","Shane Sands"
"2020-11-12","CD","8","Dirt","Frosted Angel"," 2 ","2","","Corey Lanerie","Ben Colebrook"
"2020-11-12","CD","8","Dirt","Hoodwink"," 3 ","3","","Jack Gilligan","Steve Margolis"
"2020-11-12","CD","8","Dirt","Antecedence"," 4 ","4","","Albin Jimenez","Anna Meah"
"2020-11-12","CD","8","Dirt","Cardioversion"," 5 ","5","","Declan Cannon","Ben Colebrook"
"2020-11-12","CD","8","Dirt","Dame Cinco"," 6 ","6","","Brian Hernandez, Jr.","Cherie DeVaux"
"2020-11-12","CD","8","Dirt","Hrasky"," 7 ","7","","Robby Albarado","Kenneth McPeek"
"2020-11-12","CD","8","Dirt","Abrogate"," 8 ","8","","Ricardo Santana, Jr.","Steven Asmussen"
"2020-11-12","CD","8","Dirt","Golden Sweets"," 9 ","9","","Tyler Gaffalione","Norm Casse"
"2020-11-12","CD","8","Dirt","Ekatimorningstrike","10 ","10","","Joseph Talamo","Dallas Stewart"
"2020-11-12","CD","8","Dirt","Zoom Up","11 ","11","","David Cohen","Thomas Amoss"
"2020-11-12","CD","8","Dirt","Mine for Passion","12 ","12","","James Graham","Brian Lynch"
"2020-11-12","CD","9","Turf","Toma Todo"," 1 ","1","","Ricardo Santana, Jr.","Steven Asmussen"
"2020-11-12","CD","9","Turf","Attorney Tim"," 2 ","2","","Gabriel Saez","Gregory Foley"
"2020-11-12","CD","9","Turf","Mud Pie"," 3 ","3","","Julien Leparoux","George Arnold, II"
"2020-11-12","CD","9","Turf","Winning Impression"," 4 ","4","","Joseph Rocco, Jr.","Dallas Stewart"
"2020-11-12","CD","9","Turf","Telephone Talker"," 5 ","5","","Florent Geroux","Michael Maker"
"2020-11-12","CD","9","Turf","Parkland"," 6 ","6","","Joseph Talamo","Carlo Vaccarezza"
"2020-11-12","CD","9","Turf","Perjury Trap"," 7 ","7","","Tyler Gaffalione","Chad Brown"
"2020-11-12","CD","9","Turf","Lake Nakuru"," 8 ","8","","Rafael Bejarano","Victoria Oliver"
"2020-11-12","CD","9","Turf","King Theo"," 9 ","9","","Albin Jimenez","Carlo Vaccarezza"
"2020-11-12","CD","9","Turf","Churn N Burn","10 ","10","","Chris Landeros","Ian Wilkes"
"2020-11-12","CD","9","Turf","Alfons Walde (IRE)","11 ","11","","James Graham","Conor Murphy"
"2020-11-12","CD","9","Turf","Botswana Taps","12A","12","","Brian Hernandez, Jr.","Philip Bauer"
"2020-11-12","CD","9","Turf","Silenced","13 ","13","","Adam Beschizza","Cherie DeVaux"
"2020-11-12","CD","9","Turf","Glory Road","14 ","14","","Tyler Gaffalione","Dallas Stewart"
"2020-11-12","CD","9","Turf","Working Title","15 ","15","","Gerardo Corrales","Justin Wojczynski"
"2020-11-12","CD","9","Turf","Claytnthelionheart","16A","16","","Gabriel Saez","Philip Bauer"
"2020-11-12","CD","10","Dirt","Templuna"," 1 ","1","","James Graham","John Wainwright"
"2020-11-12","CD","10","Dirt","Beauty Day"," 2 ","2","","Colby Hernandez","Thomas Drury, Jr."
"2020-11-12","CD","10","Dirt","Sweet Willemina"," 3 ","3","","Andrea Rodriguez","Ismael Bahena"
"2020-11-12","CD","10","Dirt","Cold Hearted Wench"," 4 ","4","","Joseph Rocco, Jr.","Michael Tomlinson"
"2020-11-12","CD","10","Dirt","Tuff Bird"," 5 ","5","","Mitchell Murrill","Chris Hartman"
"2020-11-12","CD","10","Dirt","Letters to Belle"," 6 ","6","","Jon Court","Edward Ruiz"
"2020-11-12","CD","10","Dirt","Bet Your Bankroll"," 7 ","7","","Rafael Bejarano","George Leonard, III"
"2020-11-12","CD","10","Dirt","Malibu Marlee"," 8 ","8","","Adam Beschizza","J. Jones"
"2020-11-12","CD","10","Dirt","Tale of Mona"," 9 ","9","","Edgar Morales","Lon Wiggins"
"2020-11-12","CD","10","Dirt","Competitive Fire","10 ","10","","Corey Lanerie","Paul Holthus"
"2020-11-12","EVD","1","Dirt","Dd Cricket"," 1 ","1","2-1","Juan Garcia","Salvador Flores"
"2020-11-12","EVD","1","Dirt","Rockin Bye Chocolate"," 2 ","2","4-1","Rolando Cabrera","Phillip Calais, Jr."
"2020-11-12","EVD","1","Dirt","Nbc Mr Taylor"," 3 ","3","15-1","Antonio Alberto","Patrick Clemons"
"2020-11-12","EVD","1","Dirt","Heza Streakin Cash"," 4 ","4","3-1","Ubaldo Luna","Shane Ladner"
"2020-11-12","EVD","1","Dirt","Alekat Romance"," 5 ","5","4-1","Noe Castaneda","Faviola Gonzalez"
"2020-11-12","EVD","1","Dirt","Rr Golo"," 6 ","6","12-1","Jasiel Aquino","Jerry Cezar"
"2020-11-12","EVD","1","Dirt","Jess La Shananigans"," 7 ","7","6-1","Mario Trujillo","Phillip Calais, Jr."
"2020-11-12","EVD","2","Dirt","Dashing Red Lexus"," 1 ","1","20-1","Bobby Ransom","Guadalupe Garza, Jr."
"2020-11-12","EVD","2","Dirt","Dancing With Sixes"," 2 ","2","12-1","David Alvarez","Patrick Clemons"
"2020-11-12","EVD","2","Dirt","Jess a Teardrop"," 3 ","3","8-1","Leonardo Rodriguez","Jose Barron"
"2020-11-12","EVD","2","Dirt","Capture de Stars"," 4 ","4","9-5","Juan Garcia, Jr.","Trey Ellis"
"2020-11-12","EVD","2","Dirt","Banditoe Gold"," 5 ","5","15-1","Rolando Pina","Donald Rubin"
"2020-11-12","EVD","2","Dirt","Smokeys Train B"," 6 ","6","5-1","Eddi Martinez","Raul Rodriguez"
"2020-11-12","EVD","2","Dirt","Jcrainaway"," 7 ","7","8-1","Noe Castaneda","Barbara Alcantara"
"2020-11-12","EVD","2","Dirt","Ttt Double Dashing"," 8 ","8","6-1","Ricardo Hernandez, Jr.","Jose Carrizales"
"2020-11-12","EVD","2","Dirt","Shiny Regent"," 9 ","9","4-1","Heriberto Aguilar-Orozco","Manuel Pizana"
"2020-11-12","EVD","3","Dirt","Mystic Lake"," 1 ","1","8-5","Noe Castaneda","Arturo Davila, III"
"2020-11-12","EVD","3","Dirt","Miss Jordan Silo"," 2 ","2","8-1","Cesar Segura","Jaime Gonzalez"
"2020-11-12","EVD","3","Dirt","Nice Legs"," 3 ","3","4-1","Juan Garcia, Jr.","David Bustamante"
"2020-11-12","EVD","3","Dirt","Carry Corona Cash"," 4 ","4","10-1","J. Ramirez","Miguel Garcia"
"2020-11-12","EVD","3","Dirt","Chromasirio"," 5 ","5","20-1","Rolando Pina","Eric Long"
"2020-11-12","EVD","3","Dirt","Arzon"," 6 ","6","5-1","Ubaldo Luna","Elroy Potts, Sr."
"2020-11-12","EVD","3","Dirt","Msmtoasttothepatriot"," 7 ","7","4-1","Gilbert Ortiz","Vann Haywood"
"2020-11-12","EVD","4","Dirt","Zoomins Jewel"," 1 ","1","7-2","Donald Watson","Patrick Clemons"
"2020-11-12","EVD","4","Dirt","Agoutis Snowplow"," 2 ","2","2-1","Ubaldo Luna","Anthony Arey"
"2020-11-12","EVD","4","Dirt","First to Count"," 3 ","3","6-1","Jose Rodriguez","Ray Robbins"
"2020-11-12","EVD","4","Dirt","Summer Motion"," 4 ","4","5-1","David Alvarez","Guadalupe Garza, Jr."
"2020-11-12","EVD","4","Dirt","One Special La Jolla"," 5 ","5","10-1","Russell Leblanc","Brenda Foster"
"2020-11-12","EVD","4","Dirt","Mighty Lil Justin"," 6 ","6","10-1","Bobby Ransom","Donald Rubin"
"2020-11-12","EVD","4","Dirt","Struttinmyjewelsoff"," 7 ","7","9-2","Eddi Martinez","Jesus Garrido"
"2020-11-12","EVD","5","Dirt","Jls Deans Dynasty"," 1 ","1","6-1","Rolando Cabrera","Jose Amaya"
"2020-11-12","EVD","5","Dirt","Eyesa Perfect Storm"," 2 ","2","20-1","Eddi Martinez","Eliseo Celestino"
"2020-11-12","EVD","5","Dirt","Lota Thunder"," 3 ","3","10-1","Gilbert Ortiz","Arturo Davila, III"
"2020-11-12","EVD","5","Dirt","Cartel On the Loose"," 4 ","4","5-2","Jose Rodriguez","Orlando Orozco"
"2020-11-12","EVD","5","Dirt","Jb too Sexy"," 5 ","5","10-1","Noe Castaneda","Kenneth Roberts, Sr."
"2020-11-12","EVD","5","Dirt","Royals Winning Lady"," 6 ","6","6-1","Arturo Alvarez","Rosendo Valdez Jr."
"2020-11-12","EVD","5","Dirt","Pickfour"," 7 ","7","4-1","David Alvarez","Orlando Orozco"
"2020-11-12","EVD","5","Dirt","Phoebes a Train"," 8 ","8","15-1","Ubaldo Luna","Fernando Lopez"
"2020-11-12","EVD","5","Dirt","Jess Rock"," 9 ","9","9-2","Juan Garcia, Jr.","Wendy Garcia"
"2020-11-12","EVD","6","Dirt","Painted by Perry"," 1 ","1","8-1","Juan Garcia, Jr.","Barbara Alcantara"
"2020-11-12","EVD","6","Dirt","Mr Sixy Piloto"," 2 ","2","8-1","Leonardo Rodriguez","Jose Espinosa"
"2020-11-12","EVD","6","Dirt","Train of Diamonds"," 3 ","3","5-1","David Alvarez","Rosendo Valdez Jr."
"2020-11-12","EVD","6","Dirt","Jj Chris S Angel"," 4 ","4","5-1","J. Ramirez","Santiago Riojas, Jr."
"2020-11-12","EVD","6","Dirt","Jj Paint On Luck"," 5 ","5","6-1","Ricardo Hernandez, Jr.","Jose Carrizales"
"2020-11-12","EVD","6","Dirt","High and Caliente"," 6 ","6","12-1","Arturo Alvarez","Manuel Pizana"
"2020-11-12","EVD","6","Dirt","A True Patriot"," 7 ","7","3-1","Everardo Rodriguez","Martin Trejo"
"2020-11-12","EVD","6","Dirt","Brileys Prize"," 8 ","8","4-1","Heriberto Aguilar-Orozco","Patrick Clemons"
"2020-11-12","EVD","7","Dirt","Cw Quick Bride"," 1 ","1","20-1","Juan Torres","Jarvis Vincent"
"2020-11-12","EVD","7","Dirt","Stoli a Corona"," 2 ","2","9-2","Ricardo Hernandez, Jr.","Carlos Fierro"
"2020-11-12","EVD","7","Dirt","Bar Down Town"," 3 ","3","12-1","Heriberto Aguilar-Orozco","Manuel Pizana"
"2020-11-12","EVD","7","Dirt","Kalies Magic"," 4 ","4","5-2","Bobby Ransom","Trey Ellis"
"2020-11-12","EVD","7","Dirt","Ar Apollitical Fame"," 5 ","5","6-1","Eddi Martinez","Luis Martinez"
"2020-11-12","EVD","7","Dirt","Eyes a Blue Runaway"," 6 ","6","5-1","Noe Suarez","Orlando Orozco"
"2020-11-12","EVD","7","Dirt","Tf Homemade Soap"," 7 ","7","8-1","Donald Watson","Louis Lee"
"2020-11-12","EVD","7","Dirt","McV Tokillyasunrise"," 8 ","8","20-1","Juan Garcia","Brent Fontenot"
"2020-11-12","EVD","7","Dirt","Jls Classy Beduino"," 9 ","9","6-1","Arturo Alvarez","Kenneth Weeks"
"2020-11-12","EVD","7","Dirt","Brays French Toast","10 ","10","15-1","Gilbert Ortiz","Vann Haywood"
"2020-11-12","EVD","8","Dirt","Achievopiloto"," 1 ","1","6-1","Gilbert Ortiz","Barbara Alcantara"
"2020-11-12","EVD","8","Dirt","Lynns Prodigy"," 2 ","2","8-1","David Alvarez","Hector Alcala"
"2020-11-12","EVD","8","Dirt","No Politics Here"," 3 ","3","9-2","Noe Castaneda","Kenneth Roberts, Sr."
"2020-11-12","EVD","8","Dirt","I Like Bux"," 4 ","4","15-1","Leonardo Rodriguez","Lanny Keith"
"2020-11-12","EVD","8","Dirt","Gorgeous Leon"," 5 ","5","15-1","Russell Leblanc","Sterling Elias"
"2020-11-12","EVD","8","Dirt","One Sweet Merlot"," 6 ","6","3-1","Juan Garcia, Jr.","Trey Ellis"
"2020-11-12","EVD","8","Dirt","Jet Black Design"," 7 ","7","10-1","Antonio Alberto","Ned Goutierrez III"
"2020-11-12","EVD","8","Dirt","Beyondthecos"," 8 ","8","5-1","Jose Rodriguez","Manuel Macias"
"2020-11-12","EVD","8","Dirt","U R Jess Blue"," 9 ","9","5-1","Ubaldo Luna","Joel Huitron"
"2020-11-12","EVD","9","Dirt","Valiant Ferrari"," 1 ","1","15-1","Gilbert Ortiz","David Bustamante"
"2020-11-12","EVD","9","Dirt","Tk Struttin Fast"," 2 ","2","5-2","Everardo Rodriguez","Lanny Keith"
"2020-11-12","EVD","9","Dirt","Tee Cos Queen"," 3 ","3","20-1","Aron Hunt","Dennis Turner"
